KeyName,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Tranditional Chinese (CHT),Simplified Chinese (CHN),"Indonesian
"
SETTINGS_DELETESAVE,DELETE SAVED GAME,DELETAR JOGO SALVO,IXI DELETA O SAVE,УДАЛИТЬ СОХРАНЕНИЕ,セーブデータを さくじょ,Spielstand löschen,EFFACER LA SAUVEGARDE,Borrar partida salvada,Smazání uložené hry,저장된 게임 지우기,OPGESLAGEN SAVE VERWIJDEREN,"ELIMINA SALVATAGGI
",刪除遊戲紀錄,删除已保存游戏,Hapus Data Permainan
SETTINGS_DELETESAVE_CONFIRM,YES! DELETE!,SIM! DELETAR!,VAI LOGO,ДА! УДАЛИТЬ!,はい! もちろん!,Bitte löschen!,OUI! EFFACER!,"¡Sí, borrar!","Ano, smazat!",네! 지우겠어요!,JA! VERWIJDER!,SÌ! ELIMINA!,是! 將會刪除,是的！删除！,Ya! Hapus!
SETTINGS_DELETESAVE_TEXT,CONFIRM YOU REALLY WANT TO DELETE ALL OF YOUR SAVED DATA,CONFIRME QUE DESEJA APAGAR TODOS OS DADOS SALVOS,TA LOCO TEM CTZ Q VAI APAGA TUUUUUDOOOO???,ВЫ ТОЧНО ХОТИТЕ УДАЛИТЬ ФАЙЛ СОХРАНЕНИЯ?,ほんとうに すべてのセーブデータを さくじょしますか?,Spielstand wirklich löschen?,SOUHAITEZ VOUS VRAIMENT EFFACER COMPLETEMENT VOTRE SAUVEGARDE,Seguro que deseas borrar todos tus archivos guardados,"Potvrď, že chceš opravdu smazat veškerá uložená data",저장된 데이터를 정말 삭제하시겠습니까?,BEVESTIG DAT JE ECHT AL JE OPGESLAGEN DATA WILT VERWIJDEREN,CONFERMA CHE VUOI DAVVERO ELIMINARE I TUOI SALVATAGGI,確定你真的要刪除所以已貯存之紀錄嗎?,请确认：你真的想删除所有已保存数据吗？,"Yakin bahwa kamu bentar benar ingin menghapus data permainanmu?
"
SETTINGS_PERFORMANCE,VIDEO OPTIONS,OPÇÕES DE VÍDEO,COMOFAS PRA MELHORA ESSES PIXEL POE 3D,НАСТРОЙКИ ВИДЕО,ビデオ オプション,Grafikoptionen,VIDEO,Opciones de vídeo,Nastavení videa,비디오 옵션,VIDEO-OPTIES,OPZIONI VIDEO,遊玩設定,画面设置,"Pengaturan Video
"
SETTINGS_GAMEPLAY,GAMEPLAY OPTIONS,OPÇÕES DE JOGO,MIMIMIMIMI DEXA MUDA AS OPSAM,НАСТРОЙКИ ИГРЫ,ゲームプレイ オプション,Gameplay-Optionen,OPTIONS DE JEU,Opciones de juego,Nastavení hry,게임플레이 옵션,GAMEPLAY-OPTIES,OPZIONI GIOCO,畫面設定,操作设置,"Pengaturan Permainan
"
SETTINGS_MAPPING,KEYBOARD MAPPING,CONFIGURAR TECLADO,TECLADO PRO GUEMER,НАСТРОЙКА КЛАВИШ,キーボード マッピング,Tastenbelegung,CLAVIER,Opciones de teclado,Nastavení kláves,키 설정,CONTROLLER-OPTIES,CONFIGURA TASTI,按鍵設定,按键设置,Pengaturan Tombol
SETTINGS_LANGUAGE,LANGUAGE,LÍNGUA,LINGUAGE,ЯЗЫК,ランゲージ,Sprache,LANGUE,Idioma,Jazyk,언어,TAAL,"LINGUA
",語言,语言,Pengaturan Bahasa
SETTINGS_MASTER,MASTER VOLUME,VOLUME GERAL,BATIDAO GERAL,ОБЩАЯ ГРОМКОСТЬ,マスター ボリューム,Gesamtlautstärke,VOLUME GLOBAL,Volumen global,Hlavní hlasitost,마스터 볼륨,HOOFDVOLUME,VOLUME PRINCIPALE,配音音量,主音量,"Volume Master
"
SETTINGS_SOUND,FX VOLUME,VOLUME EFEITOS,BATIDAO DOS PUTS PUTS,ЭФФЕКТЫ,FX ボリューム,Soundeffekte,VOLUME EFFETS,Volumen de efectos,Hlasitost efektů,FX 볼륨,EFFECTVOLUME,VOLUME EFFETTI,效果音量,音效音量,"Volume FX
"
SETTINGS_MUSIC,MUSIC VOLUME,VOLUME MÚSICA,BATIDAO DAS MELODIA,МУЗЫКА,ミュージック ボリューム,Musik,VOLUME MUSIQUE,Volumen de música,Hlasitost hudby,음악 볼륨,MUZIEKVOLUME,"VOLUME MUSICA
",背景音樂音量,音乐音量,"Volume Musik
"
,,,,,,,,,,,,,,,
SETTINGS_LOWPERF1,VIDEO CARD NOT SUPPORTED - ADVANCED EFFECTS DISABLED,PLACA DE VÍDEO NÃO SUPORTADA - EFEITOS AVANÇADOS DESLIGADOS,MELHORA SEU PC ANTES KKKKK MALZ,ВИДЕОКАРТА НЕ ПОДДЕРЖИВАЕТСЯ - ДОП.ЭФФЕКТЫ ОТКЛЮЧЕНЫ,ビデオカードが サポートされていません - かくちょうエフェクトを むこうにします,GRAFIKKARTE WIRD NICHT UNTETSTUETST - EINIGE EFFEKTE WURDEN DEAKTIVIERT,CARTE GRAPHIQUE NON SUPPORTEE - EFFETS AVANCES DESACTIVES,Targeta grafica no soportada -Efectos avanzados desactivados,Grafická karta není podporována - pokročilejší efekty vypnuty,비디오카드가 지원하지 않습니다- 상위 효과를 사용할 수 업습니다.,VIDEOKAART NIET ONDERSTEUND - GEAVANCEERDE EFFECTEN UITGESCHAKELD,SCHEDA VIDEO NON SUPPORTATA - EFFETTI AVANZATI DISABILITATI,顯示卡不支援 - 進階效果關閉,不支持的显卡 - 高级效果已停用,Video Card tidak mencukupi - efek lanjutan telah dimatikan.
SETTINGS_LOWPERF2,YOU CAN RE-ENABLE THE EFFECTS AT THE SETTINGS MENU,VOCÊ PODE RELIGAR OS EFEITOS NO MENU DE OPÇÕES,QLQR COISA ME AVISA OU VAI NAS OPSAM D NOVO,ВЫ МОЖЕТЕ ВКЛЮЧИТЬ ЭФФЕКТЫ ПОЗЖЕ,せっていメニューから ゆうこうにできます,SIE KOENNEN DIE EFFEKTE IN DEN OPTIONEN WIEDERHERSTELLEN,VOUS POUVEZ REACTIVER LES EFFETS DANS LE MENU DES OPTIONS,Puedes restablecer los efectos en el menu de opciones,"Můžeš znovu spustit všechny efekty v menu
",설정 메뉴에서 효과를 재 활성화 시킬 수 있습니다.,JE KUNT DE EFFECTEN OPNIEUW INSCHAKELEN IN HET INSTELLINGEN-MENU,PUOI RIATTIVARE GLI EFFETTI DAL MENU OPZIONI,你可於設定功能表中重新設定有關效果,你可以在设置菜单重新启用效果,Kamu bisa menampilkan kembali efek - efek di Pengaturan Menu
SETTINGS_LOWPERF3,PRESS ANY KEY TO CONTINUE,APERTE QUALQUER TECLA PARA CONTINUAR,APERTA QLQR COISA VAI,НАЖМИТЕ ЛЮБУЮ КНОПКУ,キーを おしてください,TASTENDRUCK ZUM FORTFAHREN,APPUYEZ SUR UNE TOUCHE POUR CONTINUER,Pulsa cualquier tecla para continuar,"Pro pokračování stiskni libovolnou klávesu
",아무키나 눌러 주세요.,DRUK OP EEN TOETS OM VERDER TE GAAN,PREMI UN TASTO QUALSIASI PER CONTINUARE,按任意鍵繼續,按任意键继续,Pencat Tombol Apapun Untuk Lanjut
SETTINGS_ON,ON,SIM,VAI,ВКЛ,ON,An,OUI,"Activado
",Zapnout,켜기,AAN,SÌ,開,开,ON
SETTINGS_OFF,OFF,NÃO,NEM,ВЫКЛ,OFF,Aus,NON,"Desactivado
",Vypnout,끄기,UIT,"NO
",關,关,OFF
SETTINGS_FULL,FULL,TUDO,ALTAO,МАКС,FULL,Hoch,COMPLET,Máximo,Maximum,최대,VOL,"MAX
",全部,最高,Maximal
SETTINGS_LOW,LOW,BAIXO,BAXINHO,НИЗКИЙ,LOW,Niedrig,BAS,Bajo,Minimum,최저,LAAG,MIN,低,低,Minimal
,,,,,,,,,,,,,,,
GAMEPLAY_DOUBLETAP,DOUBLE TAP TO DASH,DOIS TOQUES PARA SALTAR,DOIS TAP E AVOA,ДВОЙНОЕ НАЖАТИЕ ДЛЯ УВОРОТА,2かいおして ダッシュ,Richtungtaste doppelt tippen um zu sprinten,APPUIE DOUBLE POUR DASH,Aprieta dos veces para deslizarte,Dvojitým zmáčnutím uháníš vpřed,두번누르면 대쉬합니다,TOETS 2 KEER OM TE BESTORMEN,PREMI 2 VOLTE PER SCATTARE,雙擊衝刺,双击冲刺,Pencet 2 Kali Untuk Menerobos Dengan Cepat
GAMEPLAY_MWHEEL,MOUSE WHEEL TO SWITCH WEAPONS,RODA DO MOUSE TROCA DE ARMA,RODA MOUSE E TROCA O CANHAO,КОЛЕСИКО МЫШИ ДЛЯ СМЕНЫ ОРУЖИЯ,マウスホイールで ぶきを きりかえる,Mit Mausrad Waffe wechseln,MOLETTE POUR CHANGER D'ARME,Usa la rueda del ratón para intercambiar armas,Kolečkem myši vybíráš zbraň,마우스휠로 무기를 바꿉니다,SCROLL-WIEL OM VAN WAPENS TE WISSELEN,"SCORRI LA ROTELLA DEL MOUSE PER CAMBIARE ARMI
",滑鼠滾輪切換武器,鼠标滚轮切换武器,"Roda Mouse Untuk Menukar Senjata
"
GAMEPLAY_SCREENSHAKE,SCREEN SHAKE AMOUNT,TREMIDA DE TELA,FRESCURINHA DA TELA KKK,ТРЯСКА ЭКРАНА,がめんの ゆれ,Bild rütteln,VIBRATION DE L'ECRAN,Cantidad de vibración de la pantalla,Kvalita obrazu,화면 흔들림 정도,HOEVEELHEID SCHERMBEWEGING,"MOVIMENTO SCHERMO
",屏幕搖晃度,屏幕摇晃幅度,
GAMEPLAY_VIBRATION,CONTROLLER VIBRATION,VIBRAÇÃO DE CONTROLE,VIBRADOR NO PAD,ВИБРАЦИЯ ГЕЙМПАДА,コントローラー しんどう,Vibration,VIBRATION DE LA MANETTE,Vibración del mando,Vibrace ovladače,컨트롤러 진동,CONTROLLER VIBRATIE,VIBRAZIONE CONTROLLER,控制器 震動,控制器震动,
GAMEPLAY_TARGETING,CONTROLLER AUTO-AIM,MIRA AUTOMÁTICA NO CONTROLE,AIMBOT PROS NOOB,АВТОПРИЦЕЛ НА ГЕЙМПАДЕ,コントローラー オートエイム,Automatisches Zielen,VISE AUTOMATIQUE POUR MANETTE,Autoapuntado del mando,Auto-zaměřování ovladače,컨트롤러 자동조준,RICHT AUTOMATISCH MET CONTROLLER,AUTO-MIRA CONTROLLER,控制器 自動瞄準,控制器自动瞄准,
GAMEPLAY_TARGETING_ASSIST,ASSIST,AJUDA,AJUDINHA,ПОМОЩЬ,アシスト,Ziel Assistent,AIDE,Asistencia,Asistování,어시스트,HULP,AIUTO MIRA,輔助,辅助,
GAMEPLAY_STICKY,CONTROLLER STICKY AIM,AUXÍLIO DE MIRA NO CONTROLE,HAX ,ПРИЛЕПАНИЕ К ЦЕЛИ НА ГЕЙМПАДЕ,コントローラー はりつくエイム,Controller mit Zielhilfe,MANETTE VISE COLLANTE,Ayuda al apuntar con el mando,Míra podpory v zaměřování,컨트롤러 스티키 조준,KLEVEND RICHTEN MET CONTROLLER,"MIRA PRECISA CONTROLLER
",控制器 牽引瞄準,,
GAMEPLAY_SHOWAMMO,ALWAYS SHOW AMMO BARS,SEMPRE MOSTRAR MUNIÇÕES,MOSTRAR AS BALA,ВСЕГДА ПОКАЗЫВАТЬ ПАТРОНЫ,だんすうを つねに ひょうじ,Munition immer anzeigen,TOUJOURS AFFICHER LES MUNITIONS,Siempre mostrar las barras de munición,Vždy zobrazit stav munice,항상 탄약상태창 활성,TOON ALTIJD MUNITIEBALKEN,"MOSTRA SEMPRE BARRE MUNIZIONI
",永遠顯示 子彈數量,始终显示弹药数量条,
,,,,,,,,,,,,,,,
CHARSELECT_TITLE,CHARACTER SELECTION,SELEÇÃO DE PERSONAGEM,ESCOLHE UM BONECO,ВЫБОР ПЕРСОНАЖА,キャラクターせんたく,Charakterauswahl,SELECTION DU PERSONNAGE,Selección de personaje,Výběr postavy,캐릭터 선택,PERSONAGESELECTIE,SELEZIONA PERSONAGGIO,角色選擇,角色选择,
CHARSELECT_INPUTMETHOD,INPUT METHOD,TIPO DE CONTROLE,COMO MEXE,ВЫБОР УПРАВЛЕНИЯ,にゅうりょく ほうほう,Eingabe Methode,CONTROLE,Tipo de control,Způsob ovládání,입력 함수,INPUTMETHODE,METODO DI INPUT,輸入法,输入方式,
CHARSELECT_PLAYER1,PLAYER 1,JOGADOR 1,PARSSA 1,ИГРОК 1,プレイヤー 1,Spieler 1,JOUEUR 1,Jugador 1,Hráč 1,플레이어 1,SPELER 1,GIOCATORE 1,玩家1,玩家1,
CHARSELECT_PLAYER2,PLAYER 2,JOGADOR 2,PARSSA 2,ИГРОК 2,プレイヤー 2,Spieler 2,JOUEUR 2,Jugador 2,Hráč 2,플레이어 2,SPELER 2,GIOCATORE 2,玩家2,玩家2,
CHARSELECT_HEALTH,HEALTH,VIDA,SANGUE,ЗДОРОВЬЕ,たいりょく,Gesundheit,VIE,Vida,Zdraví,체력,GEZONDHEID,VITA,體力,血量,
CHARSELECT_SHIELD,SHIELD,ESCUDO,TUA MÃE AQUELA BALEIA,ЩИТ,シールド,Schild,BOUCLIER,Escudo,Štít,실드,SCHILD,SCUDO,護甲,护盾,
CHARSELECT_MELEE,MELEE,CORPO-A-CORPO,NO TAPA,БЛИЖНИЙ БОЙ,かくとう,Nahkampf,CORPS A CORPS,Cuerpo a cuerpo,"Rvaní
",근접,MELEE,MISCHIA,近身攻擊,近身攻击,
CHARSELECT_STAMINA,STAMINA,STAMINA,FOLEGO,ВЫНОСЛИВОСТЬ,スタミナ,Ausdauer,ENDURANCE,Aguante/resistencia,Výdrž,스태미나,STAMINA,STAMINA,耐力,耐力,
CHARSELECT_SPEED,SPEED,VELOCIDADE,GÁS,СКОРОСТЬ,スピード,Geschwindigkeit,VITESSE,Velocidad,"Rychlost
",속도,SNELHEID,VELOCITÀ,速度,速度,
CHARSELECT_DESC_JIMMY,ALL-AROUND CHARACTER. SKILLED WITH ALL WEAPON TYPES.,PERSONAGEM EQUILIBRADO. USA TODAS AS ARMAS.,"KRINHA +- EM TUDO. BEM FERA, SABE USA QQ CANHÃO",УМЕЛЕЦ НА ВСЕ РУКИ. ВЛАДЕЕТ ЛЮБЫМ ОРУЖИЕМ.,オールラウンドな キャラクター。 すべてのぶきを あつかえる,Vielseitig talentiert. Kann alle Waffen benutzen.,PERSONNAGE EQUILIBRE. COMPETANT AVEC TOUT TYPE D'ARME,Personaje equilibrado. habil con todo tipo de armas,Univerzální postava. Ovládá všechny typy zbraní,올라운드 캐릭터. 모든 무기에 능숙,ALLES-IN-EEN PERSONAGE. KAN OMGAAN MET ALLE WAPENTYPES.,PERSONAGGIO VERSATILE. ABILE CON TUTTI I TIPI DI ARMI,全能角色。熟練所有武器類型。,全能角色。精通所有类型的武器。,
CHARSELECT_DESC_PINKYY,"MELEE CHARACTER. SKILLED WITH PISTOLS AND ROCKET LAUNCHERS, CAN'T USE GRENADES.","PERSONAGEM DE COMBATE CORPO-A-CORPO. USA PISTOLAS E BAZUCAS, NÃO USA GRANADAS.",MINA PEDRA 90 Q SAI NA MÃO COM GERAL. USA PISTOLA E ATIRA DE BAZUCA,"МАСТЕР БЛИЖНЕГО БОЯ. МОЖЕТ ИСПОЛЬЗОВАТЬ ПИСТОЛЕТЫ И РАКЕТНИЦЫ, НО НЕ ЗНАЕТ КАК БРОСАТЬ ГРАНАТЫ.",かくとうが とくいな キャラクター。 ピストルと ロケットランチャーを あつかえるが、 グレネードは つかえない,"Nahkampfcharakter. Benutzt Pistolen und die Panzerfaust, kann keine Granaten werfen.","PERSONNAGE AU CORPS A CORPS. COMPETANT AVEC PISTOLET ET LANCE ROQUETTE, NE PEUT PAS UTILISER LES GRENADES","Personaje de cuerpo a cuerpo. Hábil con pistolas y lanzacohetes, no puede usar granadas.","Rváč používá pistole a raketomety, neumí házet granáty
","근접 캐릭터. 권총과 로켓런쳐에 능숙, 그레네이드 사용불가","MELEE PERSONAGE. IS HANDIG MET PISTOLEN EN RAKETWERPERS, MAAR KAN GEEN GRANATEN GEBRUIKEN","PERSONAGGIO DA MISCHIA. ABILE CON PISTOLE E LANCIAMISSILI, NON USA LE GRANATE
",近戰角色。熟練手槍和火箭發射器，但不能使用手榴彈。,近战角色。精通手枪和火箭筒，但不能使用手榴弹。,
CHARSELECT_DESC_RAFF,KEYTAR GUN FIRES THROUGH WALLS. SKILLED WITH SMALL ARMS ONLY.,TECLADO ATIRA ATRAVÉS DE PAREDES. USA APENAS ARMAS LEVES.,"ARMINHA PALHA ATRAVESSA PAREDE. FRANGUINHO, SÓ BOM C ARMA PEQUENA KKK",СИНТЕЗАТОР СТРЕЛЯЕТ ЧЕРЕЗ СТЕНЫ. ВЛАДЕЕТ НЕБОЛЬШИМ ОРУЖИЕМ.,キーターガンは かべを かんつうする。 こがたのぶきだけ あつかえる,Keytar schießt durch Wände. Kann nur kleine Waffen benutzen.,L'ARME KEYTAR PEUT TIRER A TRAVERS LES MURS. COMPETANT AVEC LES ARMES LEGERES UNIQUEMENT.,"La pistola Keytar atraviesa paredes. Hábil solo con armas pequeñas. 
","Keytar umí střílet skrz zdi, umí používat pouze malé zbraně","벽을 뚫는 기타건, 그리고 소화기만 숙련되어있습니다.",KEYTAR-PISTOOL SCHIET DOOR MUREN HEEN. IS ALLEEN HANDIG MET KLEINE WAPENS.,"IL FUCILE KEYTAR SPARA ATTRAVERSO I MURI. ABILE SOLTANTO CON ARMI PICCOLE.
",鍵盤結他槍可以穿透牆壁。只熟練小型武器。,,
CHARSELECT_DESC_BIU,DOUBLE GRENADE PICKUP. NOT SKILLED WITH ANY WEAPON.,PEGA GRANADAS EM DOBRO. NÃO SABE USAR NENHUMA ARMA.,PEGA + BOMBA. RECALQUE DOS MONSTRO BATE E VOLTA,НОСИТ ДВЕ СВЯЗКИ ГРАНАТ. КРИВОРУКОСТЬ С ЛЮБЫМ ДРУГИМ ОРУЖИЕМ.,グレネードを 2つなげる。 どのぶきも つかえない,Kann die doppelte Menge an Granaten tragen. Benutzt keine Waffe.,RAMASSE DEUX FOIS PLUS DE GRENADES. N'EST HABILE AVEC AUCUNE ARME.,Coge el doble de granadas. No es hábil con ningún arma.,"Dvojitá nálož granátů, neumí používat žádné zbraně",그레네이드를 두배 더 많이. 어떤 무기에도 숙련되지 않았습니다.,PAKT DUBBELE GRANATEN OP. KAN GEEN WAPEN BETER DAN DE REST GEBRUIKEN.,RACCOGLIE DOPPIE GRANATE. NON ABILE CON ALCUNA ARMA.,可取得兩倍手榴彈。任何武器都不熟練。,可获得两倍的手榴弹。不精通任何武器。,
CHARSELECT_DESC_PUNNY,DESTROYER OF WORLDS. SKILLED WITH HEAVY WEAPONS ONLY.,DESTRUIDORA DE MUNDOS. USA APENAS ARMAS PESADAS.,C ELA É SÓ TIRO PORRADA E BOMBA KKK. SABE MEXE COM ARMA PESADA,УНИЧТОЖИТЕЛЬ МИРОВ. НЕ ПРИЗНАЕТ НИЧЕГО КРОМЕ САМОГО ТЯЖЕЛОГО ОРУЖИЯ.,せかいの はかいしゃ。 おおがたのぶきだけ あつかえる,Die Weltenzerstörerin. Benutzt nur schwere Waffen.,DESTRUCTEUR DE MONDE. COMPETANT AVEC LES ARMES LOURDES UNIQUEMENT.,Destructor de mundos. Hábil solo con armas pesadas.,Ničitel světů umí používat pouze těžké zbraně,세계의 파괴자! 오직 중화기만 숙련 되어있습니다.,VERNIETIGER VAN WERELDEN. KAN ALLEEN ZWARE WAPENS GOED GEBRUIKEN.,DISTRUTTORE DI MONDI. ABILE SOLTANTO CON ARMI PESANTI.,世界毀滅者。只熟練重型武器。,世界的毁灭者。只精通重型武器。,
CHARSELECT_DESC_ASS,"WORST CHARACTER IN THE GAME. WORTHLESS WITH ALL GUNS, GETS MORE BOUNTY.","PIOR PERSONAGEM DO JOGO. INÚTIL COM TODAS AS ARMAS, PEGA MAIS ESTRELAS.",RUIM D+ N SERVE P NADA. GANHA + GRANA Q OS OUTROS,ХУДШИЙ ПЕРСОНАЖ В ИГРЕ. НЕ ВЛАДЕЕТ НИЧЕМ. ЗАТО ЕМУ ВЕЗЕТ С НАГРАДОЙ.,さいじゃくの キャラクター。 どんなぶきでも やくたたずだが、 よりおおくのかねが てにはいる,"Der schlechteste Charakter im Spiel. Mit jeder Waffe ein Desaster, kassiert mehr Kopfgeld.","LE PLUS MAUVAIS PERSONNAGE DU JEU. NUL AVEC TOUT TYPE D'ARME, RECOLTE PLUS DE PRIMES.","Peor personaje del juego. Inútil con cualquier arma, gana mas estrellas.","Nejhorší postava ve hře, špatný se všemi zbraněmi, ale získává největší odměnu",당신의 손과 머리의 파괴자! 최악의 캐릭터. 모든 종류의 총을 형편없이 다룹니다. 현상금을 더 많이 가져옵니다.,"ZWAKSTE PERSONAGE IN HET SPEL. IS WAARDELOOS MET ALLE WAPENS, MAAR KRIJGT MEER PREMIE.","PEGGIOR PERSONAGGIO DEL GIOCO. INUTILE CON TUTTE LE ARMI, MA OTTIENE PIÙ TAGLIA.",最弱角色。不熟練所有槍支，但可獲得較多賞金。,游戏中最弱的角色。所有枪支都不精通，但可获得较多赏金。,
CHARSELECT_BUT_OK,LETS GO,COMEÇAR,BORA,ПОГНАЛИ!,LETS GO,LOS,COMMENCER,EMPEZAR,"Začít
",LETS GO,LATEN WE BEGINNEN,VAI,我們走吧,我们上,
CHARSELECT_BUT_CANCEL,CHANGE,MUDAR,QRO MUDA,СМЕНИТЬ,へんこう,Wechseln,CHANGER,Cambiar,Změna,교체,VERANDER,CAMBIA,更換,更换,
CHARSELECT_SCREENTITLE,CHARACTER SELECTION,SELEÇÃO DE PERSONAGEM,BONECOS,ВЫБОР ПЕРСОНАЖА,キャラクターせんたく,Charakterauswahl,SELECTION DU PERSONNAGE,Selección de personaje,Výběr postavy,캐릭터 선택,PERSONAGESELECTIE,SELEZIONE PERSONAGGIO,人物選擇,角色选择,
,,,,,,,,,,,,,,,
STATS_TOTALTIME,TOTAL PLAY TIME,TEMPO DE JOGO,QTO TEMPO FOI,ВСЕГО НАИГРАНО,ごうけい プレイじかん,Gesamtspielzeit,TEMPS TOTAL DE JEU,Tiempo total jugado,Celkově nahraný čas,총 플레이 타임,TOTALE SPEELTIJD,TEMPO TOTALE DI GIOCO,總遊玩時間,总游玩时间,
STATS_TOTALBOUNTY,TOTAL BOUNTY,TOTAL DE ESTRELAS,GRANA,ВСЕГО НАГРАБЛЕНО,ごうけい かくとくきん,Erhaltenes Kopfgeld,PRIME TOTALE,Estrellas totales,Celková odměna,총 현상금,TOTALE PREMIE,"TAGLIA TOTALE
",總賞金數,总赏金,
STATS_KILLS,KILLS,INIMIGOS MORTOS,BICHOS ESTOURADOS KKK,УБИЙСТВ,たおした,Kills,TUES,Muertes ocasionadas,Zabití,킬,DODEN,"UCCISIONI
",殺害數,击杀数,
STATS_DEATHS,DEATHS,MORTES,CAGADAS,СМЕРТЕЙ,しんだ,Tode,MORTS,Muertes sufridas,Smrtí,데스,STERFGEVALLEN,"MORTI
",死亡數,死亡次数,
STATS_BOSSKILLS,BOSS KILLS,CHEFÕES MORTOS,CHEFÕES EXPLODOS,УБИЙСТВ БОССОВ,たおした ボス,Boss-Kills,BOSS TUES,Jefes muertos,Zabitých bossů,보스 킬,BAAS GEDOOD,"UCCISIONI BOSS
",頭目殺害數,头目击杀数,
,,,,,,,,,,,,,,,
PERFORMANCE_RESOLUTION,WINDOW SIZE,TAMANHO DA JANELA,TAMANHO DO QUADRADO,РАЗМЕР ОКНА,ウィンドウ サイズ,Auflösung,TAILLE DE LA FENETRE,Tamaño ventana,Velikost okna,창 크기,VENSTERGROOTTE,"DIMENSIONE FINESTRA
",窗口尺寸,窗口大小,
PERFORMANCE_FULLSCREEN,WINDOW MODE,MODO DE TELA,TIPO DE QUADRADINHO,В ОКНЕ,ウィンドウ モード,Bildschirmmodus,MODE FENETRE,Modo Ventana,Režim okna,창 모드,SCHERMMODUS,MODALITÀ FINESTRA,窗口模式,窗口模式,
PERFORMANCE_FULLSCREEN_FULL,FULL,CHEIA,OCUPA TD,ПОЛНЫЙ ЭКРАН,フル,Vollbild,PLEIN ECRAN,Pantalla Completa,"Celá obrazovka
",전체화면,VOLLEDIG SCHERM,"SCHERMO INTERO
",全,全屏,
PERFORMANCE_FULLSCREEN_WINDOW,WINDOW,JANELA,JANELINHA,В ОКНЕ НА ВЕСЬ ЭКРАН,ウィンドウ,Fenster,FENETRE,Ventana,V okénku,윈도우 ,VENSTER,"FINESTRA
",屏幕,窗口化,
